X,Y,OBJECTID_1,CECPlantID,PlantName,EIAPlantID,RPS_Eligible,SmallPlant,Peaker,Small_Hydro,SolarThermal,Pumped_Storage,Pumping_Generating,SelfGeneration,SelfGenerationNAICSID,CoGeneration,CoGenerationNAICSID,NoReport,Retired_Plant,CEC_Jurisdictional,OwnerID,UtilityID,OperatorCompanyID,PreparerCompanyID,Street,City,County,State,Zip,Capacity_Latest,Units,PriEnergySource,LastReportedYear,Lon_WGS84,Lat_WGS84,Annual_Hyperlink,Monthly_Hyperlink
-13361846.223,4781988.9237,1883,H0178,Farad (Non-operational since 1997),6512,1,1,0,1,0,0,0,0,0,0,0,1,1,0,Sierra Pacific Resources,Sierra Pacific Resources,Sierra Pacific Resources,Sierra Pacific Resources,"Farad Exit, off of Interstate 80",Floriston,Nevada,CA,96111,0,,,2002,-120.03150686,39.4198344379346,https://repository.energy.ca.gov/powerplantsgeneration/H0178_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13369459.2887,4385857.764,1884,G0904,Fresno Cogeneration Partners  LP PKR,10156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fresno Cogeneration Partners,Pacific Gas & Electric (PG&E),Wellhead Services Inc,Fresno Cogeneration,8105 South  Lassen Avenue,San Joaquin,Fresno,CA,93660,21.3,UNIT 3,NG,2021,-120.09989619,36.6170189334661,https://repository.energy.ca.gov/powerplantsgeneration/G0904_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0904_monthly.png
-13422883.1544,4391002.7345,1885,G0905,Wellhead Power Panoche LLC,55874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wellhead Power Panoche LLC/Gates LLC,Pacific Gas & Electric (PG&E),Wellhead Services Inc,Wellhead Power Panoche LLC/Gates LLC,43649 W. Panoche Rd.,Firebaugh,Fresno,CA,93622,49.9,1,NG,2021,-120.57981095,36.6541064844218,https://repository.energy.ca.gov/powerplantsgeneration/G0905_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0905_monthly.png
-13422724.5802,4390924.2338,1886,G0908,Panoche - CalPeak Power,55508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CalPeak Power - Panoche,Pacific Gas & Electric (PG&E),PIC Energy,CalPeak Power LLC,43699 West Panoche Road,Firebaugh,Fresno,CA,93622,0,,,2021,-120.57838645,36.6535407457734,https://repository.energy.ca.gov/powerplantsgeneration/G0908_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0908_monthly.png
-13572514.1061,4635951.222,1887,G0909,Vaca Dixon - CalPeak Power,55499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CalPeak Power - Vaca Dixon LLC,Pacific Gas & Electric (PG&E),PIC Energy,CalPeak Power LLC,5157 Quinn Road,Vacaville,Solano,CA,95688,0,,,2021,-121.92396865,38.3990404002549,https://repository.energy.ca.gov/powerplantsgeneration/G0909_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0909_monthly.png
-13020139.223,3867863.2286,1888,G0910,Cuyamaca Peak Energy Plant (formely CalPeak El Cajon),55512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,200 North Johnson Avenue,El Cajon,San Diego,CA,92020,46.8,1,NG,2021,-116.96190065,32.7930221344559,https://repository.energy.ca.gov/powerplantsgeneration/G0910_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0910_monthly.png
-13064507.0984,4034392.2155,1889,G0911,Agua Mansa Power Plant,55951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Colton,Southern California Edison (SCE),Noresco El Colton LLC,Noresco El Colton LLC,2040 W. Agua Mansa Road,Colton,San Bernardino,CA,92324,60.5,Unit 1,NG,2021,-117.36046406,34.0416220112304,https://repository.energy.ca.gov/powerplantsgeneration/G0911_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0911_monthly.png
-13057054.6492,4019431.8409,1890,G0912,Springs Generation Project,56144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,2221 Eastridge Avenue,Riverside,Riverside,CA,92507,40,"1, 2, 3, 4",NG,2021,-117.29351757,33.9301880975039,https://repository.energy.ca.gov/powerplantsgeneration/G0912_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0912_monthly.png
-13589345.5112,4611699.0314,1891,G0913,Wolfskill Peaker,55855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Gilroy Energy Center, LLC",Pacific Gas & Electric (PG&E),"Gilroy Energy Center, LLC",Calpine Corporation - West Region,2425 Cordelia Road,Suisan City,Solano,CA,94585,48.1,WS1JT1,NG,2021,-122.07516774,38.2281002573231,https://repository.energy.ca.gov/powerplantsgeneration/G0913_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0913_monthly.png
-13557626.5953,4581488.6676,1892,G0914,Riverview Peaker,55963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Gilroy Energy Center, LLC",Pacific Gas & Electric (PG&E),"Gilroy Energy Center, LLC",Calpine Corporation - West Region,795 Minaker Road,Antioch,Contra Costa,CA,94509,47.3,RP1JT1,NG,2021,-121.79023187,38.0146011255641,https://repository.energy.ca.gov/powerplantsgeneration/G0914_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0914_monthly.png
-13566295.8324,4610818.7685,1893,G0915,Lambie Peaker,55626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Gilroy Energy Center, LLC",Pacific Gas & Electric (PG&E),"Gilroy Energy Center, LLC",Calpine Corporation - West Region,3809 Bithell Lane,Suisan City,Solano,CA,94585,48.1,LA1JT1,NG,2021,-121.86810895,38.2218881993232,https://repository.energy.ca.gov/powerplantsgeneration/G0915_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0915_monthly.png
-13563588.0071,4611559.2294,1894,G0916,Goose Haven Peaker,55627,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Goose Haven Energy Center LLC,Pacific Gas & Electric (PG&E),Goose Haven Energy Center LLC,Calpine Corporation - West Region,3876 Goose Have Road,Suisan City,Solano,CA,94585,48.1,GH1JT1,NG,2021,-121.84378414,38.2271137032603,https://repository.energy.ca.gov/powerplantsgeneration/G0916_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0916_monthly.png
-13537491.9276,4737295.4329,1895,G0917,Feather River Peaker,55847,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Gilroy Energy Center, LLC",Pacific Gas & Electric (PG&E),"Gilroy Energy Center, LLC",Calpine Corporation - West Region,248 Burns Road,Yuba City,Sutter,CA,95991,48.1,GL4JT1,NG,2021,-121.60935907,39.108989525539,https://repository.energy.ca.gov/powerplantsgeneration/G0917_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0917_monthly.png
-13564847.0293,4613613.2266,1896,G0918,Creed Energy Center,55625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Creed Energy Center LLC,Pacific Gas & Electric (PG&E),Creed Energy Center LLC,Calpine Corporation - West Region,6200 Creed Road,Suisan City,Solano,CA,94585,48.1,CD1JT1,NG,2021,-121.85509413,38.2416069946046,https://repository.energy.ca.gov/powerplantsgeneration/G0918_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0918_monthly.png
-13540758.0245,4741626.8218,1897,G0919,Yuba City Peaker,55813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Gilroy Energy Center, LLC",Pacific Gas & Electric (PG&E),Calpine Corporation - West Region,Calpine Corporation - West Region,875 North Walton Avenue,Yuba City,Sutter,CA,95993,48.1,GL3JT1,NG,2021,-121.63869892,39.1391748076684,https://repository.energy.ca.gov/powerplantsgeneration/G0919_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0919_monthly.png
-13074804.268,4023872.3112,1898,G0922,Riverside Energy Resource Center,56143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,5901 Payton Avenue,Riverside,Riverside,CA,92504,192,"1, 2, 3, 4",NG,2021,-117.45296511,33.9632786503608,https://repository.energy.ca.gov/powerplantsgeneration/G0922_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0922_monthly.png
-13092096.3154,4014202.4427,1899,G0923,Clearwater,56356,0,0,0,0,0,0,0,0,0,1,221320,0,0,0,City of Riverside Public Utilities Department,Southern California Edison (SCE),City of Riverside Public Utilities Department,City of Riverside Public Utilities Department,2201 Railroad Street,Corona,Riverside,CA,92880,32.5,"CT1, ST1",NG,2021,-117.60830221,33.8912019321122,https://repository.energy.ca.gov/powerplantsgeneration/G0923_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0923_monthly.png
-13030908.8268,3841200.1646,1900,G0924,Chula Vista Energy Center LLC,55540,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Escondido Energy Center LLC,San Diego Gas & Electric,Escondido Energy Center LLC,Wellhead Services Inc,3497 Main Street,San Diego,San Diego,CA,91911,44,1,NG,2021,-117.05864565,32.5914474904005,https://repository.energy.ca.gov/powerplantsgeneration/G0924_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0924_monthly.png
-13156997.8035,3997469.8173,1901,G0925,THUMS,56051,0,0,0,0,0,0,0,1,211111,0,0,0,0,0,THUMS Long Beach Company,Southern California Edison (SCE),THUMS Long Beach Company,THUMS Long Beach Company,1411 Pier D Street,Long Beach,Los Angeles,CA,90802,47.8,LM-600,NG,2021,-118.1913222,33.7663372669185,https://repository.energy.ca.gov/powerplantsgeneration/G0925_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0925_monthly.png
-13129595.6445,4029948.574,1902,G0928,Walnut Creek Energy Park,57515,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Walnut Creek Energy LLC,Southern California Edison (SCE),Walnut Creek Energy LLC,Walnut Creek Energy LLC,911 Bixby Drive,City of Industry,Los Angeles,CA,91745,400.4,"1, 2, 3, 5",NG,2021,-117.94516442,34.0085383383996,https://repository.energy.ca.gov/powerplantsgeneration/G0928_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0928_monthly.png
-13011613.8131,4061980.0872,1903,G0930,Bear Valley Power Plant,56346,0,1,1,0,0,0,0,0,0,1,221300,0,0,0,Golden State Water Company (BVES),Golden State Water Company (BVES),Golden State Water Company (BVES),Golden State Water Company (BVES),42020 Garstin Drive,Big Bear Lake,San Bernardino,CA,92315,8.4,"1, 2, 3, 4, 5, 6, 7",NG,2021,-116.88531559,34.2467295515569,https://repository.energy.ca.gov/powerplantsgeneration/G0930_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-12857313.5536,3927605.9041,1904,G0931,Niland Gas Turbine Plant,56569,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Imperial Irrigation District,Imperial Irrigation District,Imperial Irrigation District,Imperial Irrigation District,402 East Beal Road,Niland,Imperial,CA,92257,0,,,2021,-115.49921278,33.2430237294692,https://repository.energy.ca.gov/powerplantsgeneration/G0931_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0931_monthly.png
-13611011.9359,4774229.0316,1905,G0934,Colusa Generating Station,56532,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),4780 Dirks Road,Colusa,Colusa,CA,94177,692,"166, 336, 337",NG,2021,-122.26980054,39.3659630178743,https://repository.energy.ca.gov/powerplantsgeneration/G0934_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0934_monthly.png
-13595865.0516,4527954.4723,1906,G0935,Russell City Energy Center,56467,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Russell City Energy Company, LLC",Pacific Gas & Electric (PG&E),Calpine Corporation - West Region,Calpine Corporation - West Region,3862 Depot Road,Hayward,Alameda,CA,94545,625,"CTG1, CTG2, ST1",NG,2021,-122.13373377,37.6347394334975,https://repository.energy.ca.gov/powerplantsgeneration/G0935_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0935_monthly.png
-13037770.8027,3912364.2509,1907,G0945,Escondido Energy Center  LLC,55538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Escondido Energy Center LLC,San Diego Gas & Electric,Escondido Energy Center LLC,Wellhead Services Inc,1968 Don Lee Place,Escondido,San Diego,CA,92029,49.9,GEN 1,NG,2021,-117.12028783,33.1284369164817,https://repository.energy.ca.gov/powerplantsgeneration/G0945_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0945_monthly.png
-13554061.43,4581812.9191,1908,G0950,Gateway Generating Station,56476,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),3225 Wilbur Avenue,Antioch,Contra Costa,CA,95814,613.1,"165, 334, 335",NG,2021,-121.75820544,38.0168959509044,https://repository.energy.ca.gov/powerplantsgeneration/G0950_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0950_monthly.png
-13021271.0336,3868279.874,1909,G0951,El Cajon Energy Center,57001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wellhead Services Inc,San Diego Gas & Electric,Wellhead Services Inc,Wellhead Services Inc,222 North Johnson Avene,El Cajon,San Diego,CA,92020,49.23,Gen 1,NG,2021,-116.97206788,32.796168389393,https://repository.energy.ca.gov/powerplantsgeneration/G0951_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0951_monthly.png
-13038738.8129,3870941.3653,1910,G0990,Solar Turbines Inc. - Kearny Mesa Plant (Testing Only),50070,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Solar Turbines Incorporated,San Diego Gas & Electric,Solar Turbines Incorporated,Solar Turbines Incorporated,4200 Ruffin Road,San Diego,San Diego,CA,92123,9.9,1,NG,2021,-117.12898361,32.816263740489,https://repository.energy.ca.gov/powerplantsgeneration/G0990_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13044032.4584,3859292.1787,1911,G0991,Solar Turbines Inc. - Harbor Drive Plant (Testing Only),50070,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Solar Turbines Incorporated,San Diego Gas & Electric,Solar Turbines Incorporated,Solar Turbines Incorporated,2200 Pacific Highway,San Diego,San Diego,CA,92101,9.9,1,NG,2021,-117.17653724,32.7282740408052,https://repository.energy.ca.gov/powerplantsgeneration/G0991_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13423388.4348,4390613.3222,1912,G0997,Panoche Energy Center,56803,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Panoche Energy Center LLC,Pacific Gas & Electric (PG&E),Panoche Energy Center LLC,Panoche Energy Center LLC,43883 W. Panoche Road,Fresno,Fresno,CA,93622,400,"CT-1, CT-2, CT-3, CT-4",NG,2021,-120.58434996,36.6513000279984,https://repository.energy.ca.gov/powerplantsgeneration/G0997_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0997_monthly.png
-13422984.9421,4390852.1834,1913,G0998,Midway LLC - Starwood Power - CalPeak Power,56639,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CalPeak Power LLC,Pacific Gas & Electric (PG&E),CalPeak Power LLC,CalPeak Power LLC,43627 Panoche Road,Fresno,Fresno,CA,93622,0,,,2021,-120.58072532,36.6530214894725,https://repository.energy.ca.gov/powerplantsgeneration/G0998_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0998_monthly.png
-13036782.7523,3943077.2974,1914,G1005,Orange Grove Energy,56914,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Orange Grove Energy LP,San Diego Gas & Electric,Orange Grove Energy LP,Orange Grove Energy LP,35435 Pala Del Norte Road,Pala,San Diego,CA,92059,100,"Gen-001, Gen-002",NG,2021,-117.11141202,33.3591843094227,https://repository.energy.ca.gov/powerplantsgeneration/G1005_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1005_monthly.png
-13512781.2024,4591881.4484,1915,G1009,Lodi Energy Center,57978,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Northern California Power Agency,Pacific Gas & Electric (PG&E),Northern California Power Agency,Northern California Power Agency,12745 N. Thornton Road,Lodi,San Joaquin,CA,95242,292.23,"1, 2",NG,2021,-121.38737885,38.0881181970757,https://repository.energy.ca.gov/powerplantsgeneration/G1009_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1009_monthly.png
-13554827.1331,4581802.3583,1916,G1011,Marsh Landing Generating Station,57267,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NRG Marsh Landing LLC,Pacific Gas & Electric (PG&E),NRG Marsh Landing LLC,NRG Marsh Landing LLC,3201 Wilbur Avenue,Antioch,Contra Costa,CA,94509,828,"MLGS-1, MLGS-2, MLGS-3, MLGS-4",NG,2021,-121.76508387,38.0168212100801,https://repository.energy.ca.gov/powerplantsgeneration/G1011_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1011_monthly.png
-13098416.5624,3968798.262,1917,G1014,Saddleback Community College,Missing,0,1,0,0,0,0,0,1,611310,1,611310,0,0,0,Saddleback Community College,San Diego Gas & Electric,Saddleback Community College,Saddleback Community College,28000 Marguertie Pwy,Mission Viejo,Orange,CA,92692,1.5,"1, 2",NG,2021,-117.66507796,33.5519567572017,https://repository.energy.ca.gov/powerplantsgeneration/G1014_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13536658.5728,4549637.1951,1918,G1015,Mariposa Energy  LLC,57483,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Mariposa Energy LLC,Pacific Gas & Electric (PG&E),Diamond Generating Corporation,Diamond Generating Corporation,4887 Bruns Road,Unincorporated,Alameda,CA,94514,200,"Mariposa 1, Mariposa 2, Mariposa 3, Mariposa 4",NG,2021,-121.60187292,37.7888287272357,https://repository.energy.ca.gov/powerplantsgeneration/G1015_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1015_monthly.png
-13118601.6686,3981617.1598,1919,G1019,Central Plant (UC Irvine),57122,0,0,0,0,0,0,0,1,611310,1,611310,0,0,0,University of California Irvine,Southern California Edison (SCE),University of California Irvine,University of California Irvine,Bldg 902 West Peltason Drive,Irvine,Orange,CA,92697,19,"CTG, STG",NG,2021,-117.84640385,33.6478711428193,https://repository.energy.ca.gov/powerplantsgeneration/G1019_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1019_monthly.png
-13280743.1204,4300746.8821,1920,G1020,Pixley Cogen Plant,Missing,0,0,0,0,0,0,0,1,325193,1,325193,0,0,0,Calgren Renewable Fuels LLC,Southern California Edison (SCE),Calgren Renewable Fuels LLC,Calgren Renewable Fuels LLC,11222 Rd 120,Pixley,Tulare,CA,93256,11.97,"GT-100, GT-200",NG,2021,-119.3029453,36.0009121419806,https://repository.energy.ca.gov/powerplantsgeneration/G1020_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1020_monthly.png
-13042792.2305,3878871.7483,1921,G1023,Miramar Energy Facility 1 & 2,56232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,6875 Consolidated Way,San Diego,San Diego,CA,92029,95,"MEF 1, MEF 2",NG,2021,-117.16539608,32.8761144381873,https://repository.energy.ca.gov/powerplantsgeneration/G1023_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1023_monthly.png
-13661504.1823,4645555.5671,1922,G1024,Fuel Cell DFC,57793,0,1,0,0,0,0,0,0,0,0,0,0,1,0,County of Sonoma,Pacific Gas & Electric (PG&E),County of Sonoma,County of Sonoma,2680 Ventura Ave,Santa Rosa,Sonoma,CA,95403,0,,,2020,-122.72338011,38.4666246262908,https://repository.energy.ca.gov/powerplantsgeneration/G1024_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13015234.9995,3838866.9906,1923,G1025,Pio Pico Energy Center,57555,0,0,1,0,0,0,0,0,,0,0,0,0,1,"Pio Pico Energy Center, LLC",San Diego Gas & Electric,"Pio Pico Energy Center, LLC","Pio Pico Energy Center, LLC",7363 Calzada De La Fuente,San Diego,San Diego,CA,92154,336,"Unit 1A, Unit 1B, Unit 1C",NG,2021,-116.91784526,32.5737868877326,https://repository.energy.ca.gov/powerplantsgeneration/G1025_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1025_monthly.png
-13587603.0757,4531300.0501,1924,G1028,CSU East Bay Fuel Cell,57042,0,1,0,0,0,0,0,0,0,1,611310,0,0,0,Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),Pacific Gas & Electric (PG&E),25800 Carlos Bee Blvd,Hayward,Alameda,CA,94542,1.4,1,NG,2021,-122.05951517,37.6585358426894,https://repository.energy.ca.gov/powerplantsgeneration/G1028_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
-13169757.8534,4010129.765,1925,G1030,Toyota Technical Center,MISSING,0,1,0,0,0,0,0,1,336399,1,336399,0,0,0,Toyota Motor Engineering & Manufacturing NA Inc,Los Angeles Department of Water & Power (LADWP),Toyota Motor Engineering & Manufacturing NA Inc,Toyota Motor Engineering & Manufacturing NA Inc,1630 W. 186th St.,Gardena,Los Angeles,CA,90248,1.39,Unit 1,GAS,2021,-118.30594768,33.8608269901706,https://repository.energy.ca.gov/powerplantsgeneration/G1030_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data
