"CompanyName","CECPlantID","PlantName","City","County","State"
"Soledad Energy LLC","E0089","Soledad Energy - Retired Jan 2006","Soledad","Monterey","CA"
"Gas Recovery Systems Inc","E0094","Sycamore Landfill San Diego","Santee","San Diego","CA"
"OPAL Fuels","E0095","MM Tajiguas Energy LLC","Gaviota","Santa Barbara","CA"
"Thermal Energy Dev Partner LP","E0096","Tracy Biomass Plant (retired 6/1/2019)","Tracy","San Joaquin","CA"
"LandGas Technology LLC","E0097","Blue Lake","Blue Lake","Humboldt","CA"
"IHI Power Services Corp","E0098","Rio Bravo Fresno","Fresno","Fresno","CA"
"IHI Power Services Corp","E0099","Rio Bravo Rocklin","Lincoln","Placer","CA"
"IHI Power Services Corp (Pacific Ultrapower Chinese Station)","E0100","Pacific Ultrapower Chinese","Jamestown","Tuolumne","CA"
"MM Tulare LLC","E0101","MM Tulare Energy LLC","Visalia","Tulare","CA"
"Wadham Energy LP","E0102","Wadham","Williams","Colusa","CA"
"DTE Energy Services","E0105","Woodland Biomass Power Ltd","Woodland","Yolo","CA"
"Bio Energy Partners/WM Renewable Energy","E0106","Altamont Gas Recovery","Livermore","Alameda","CA"
"Ridgewood Power Management LLC","E0109","Brea Power Partners LP (Retired 9/25/2019)","Brea","Orange","CA"
"SF Public Utilities Commission","E0110","Southeast Digester Gas Cogen Plant","San Francisco","San Francisco","CA"
"SERRF Joint Powers Authority","E0112","Southeast Resource Recovery","Long Beach","Los Angeles","CA"
"Sanitation Districts of Los Angeles County","E0113","Commerce Refuse To Energy (Retired June 30, 2018)","Commerce","Los Angeles","CA"
"OPAL Fuels","E0117","Coyote Canyon (Retired Dec 28 2015)","Irvine","Orange","CA"
"OPAL Fuels","E0118","American Canyon Power Plant (Retired 2013)","American Canyon","Napa","CA"
"OPAL Fuels","E0120","Guadalupe Power Plant (Retired 2013)","San Jose","Santa Clara","CA"
"OPAL Fuels","E0122","Newby Island II (Retired 2010)","San Jose","Santa Clara","CA"
"OPAL Fuels","E0123","Marsh Road Power Plant (Retired 2013)","Menlo Park","San Mateo","CA"
"Pacific Recovery Corp","E0125","Oxnard - Closed December 2009","Oxnard","Ventura","CA"
"Sanitation Districts of Los Angeles County","E0127","Puente Hills Energy Recovery","Whittier","Los Angeles","CA"
"Sanitation Districts of Los Angeles County","E0128","Puente Hills Gas-to-Energy Facility  Phase II (Retired 12/31/2016)","Whittier","Los Angeles","CA"
"Sanitation Districts of Los Angeles County","E0129","Spadra Landfill Gas to Energy (Retired September 30, 2015)","Pomona","Los Angeles","CA"
"Sanitation Districts of Los Angeles County","E0130","Palos Verdes Gas to Energy Facility - Retired Oct 2011","Rolling Hills Estates","Los Angeles","CA"
"OPAL Fuels","E0132","Santa Cruz Energy LLC","Santa Cruz","Santa Cruz","CA"
"Modesto Energy LP","E0134","Modesto Energy - Retired Dec 2002","Westley","Stanislaus","CA"
"Monterey Regional Waste Mgmt Dist","E0135","Marina Landfill Gas (Monterey Regional Waste Management Dst)","Marina","Monterey","CA"
"West Contra Costa Energy Recovery Inc","E0137","Nove Power Plant","Richmond","Contra Costa","CA"
"NEO Corporation","E0139","Corona Landfill - Retired Dec 2004","Corona","Riverside","CA"
"Pacific Recovery Corp","E0141","Santa Clara - Retired Dec 2005","Santa Clara","Santa Clara","CA"
"SCS Energy","E0142","Penrose Landfill - Retired December 2005","Sun Valley","Los Angeles","CA"
"Toyon Landfill Gas Conversion LLC","E0143","Toyon Landfill Gas Conversion LLC (Indef Shutdown 6/2015)","Los Angeles","Los Angeles","CA"
"Pacific Recovery Corp","E0144","Salinas - Closed August 2009","Salinas","Monterey","CA"
"WPI Packaging & Maintenance Co","E0146","Byxbee Park Sanitary Landill - Retired December 2004","Palo Alto","Santa Clara","CA"
"Covanta Energy Inc","E0150","Stanislaus Resource Recovery Facility","Crows Landing","Stanislaus","CA"
"OPAL Fuels","E0152","MM West Covina LLC","West Covina","Los Angeles","CA"
"Los Angeles Department of Water & Power (LADWP)","E0153","Bradley Landfill","Los Angeles","Los Angeles","CA"
"Yolo County General Services","E0154","MM Yolo Power LLC Facility","Davis","Yolo","CA"
"South Orange County Wastewater Authority","E0155","Aliso Water Management Agency (Retired 12/26/2016)","Laguna Niguel","Orange","CA"
"Wheelabrator Hudson Energy Co Inc","E0165","Wheelabrator Hudson Energy - Retired 2003 and 2014","Anderson","Shasta","CA"
"OPAL Fuels","E0168","MM Lopez Energy LLC","Lake View Terrace","Los Angeles","CA"
"City of San Diego","E0171","Point Loma Wastewater Treatment Plant - Gas Utilization Facility","San Diego","San Diego","CA"
"Sierra Pacific Industries Inc","E0174","SPI - Anderson (Retired 7/27/2015)","Anderson","Shasta","CA"
"OPAL Fuels","E0179","Newby Island I","San Jose","Santa Clara","CA"
"City of Sunnyvale Water Pollution Control Plant","E0181","Sunnyvale Water Pollution Control Plant","Sunnyvale","Santa Clara","CA"
"OPAL Fuels","E0194","MM Prima Deshecha Energy LLC","San Juan Capistrano","Orange","CA"
"Sonoma County Department of Transportation and Public Works","E0195","Central LF (Sonoma) Phase I","Petaluma","Sonoma","CA"
"Sonoma County Department of Transportation and Public Works","E0196","Central LF (Sonoma) Phase II","Petaluma","Sonoma","CA"
"Sonoma County Department of Transportation and Public Works","E0197","Central LF (Sonoma) Phase III","Petaluma","Sonoma","CA"
"Buena Vista Biomass Power","E0201","Buena Vista Biomass","Ione","Amador","CA"
"City of San Diego Public Utilities Department","E0202","MM San Diego LLC - North City","San Diego","San Diego","CA"
"County of Sacramento Department of Waste Management & Recycling","E0203","Kiefer Landfill Gas-to-Energy Facility","Sloughhouse","Sacramento","CA"
"OPAL Fuels","E0204","MN Colton Genco LLC (Retired 2013)","Colton","San Bernardino","CA"
"OPAL Fuels","E0205","Miramar Energy LLC LFG","San Diego","San Diego","CA"
"OPAL Fuels","E0206","MN Milliken Genco LLC (Retired 2014)","Ontario","San Bernardino","CA"
"WM Energy Solutions Inc","E0207","El Sobrante Landfill (Retired 9/30/2016)","Corona","Riverside","CA"
"WM Energy Solutions Inc","E0208","Simi Valley Landfill (Retired 9/30/2016)","Simi Valley","Ventura","CA"
"OPAL Fuels","E0209","MN Mid Valley Genco LLC (retired 12/31/2016)","Rialto","San Bernardino","CA"
"County of Riverside Waste Management Department","E0210","RCWMD Badlands Power Plant","Moreno Valley","Riverside","CA"
"City of Oxnard Wastewater Division","E0211","Oxnard Wastewater Treatment Plant","Oxnard","Ventura","CA"
"Sanitation Districts of Los Angeles County","E0212","Total Energy Facilities","Carson","Los Angeles","CA"
"DTE Stockton LLC","E0213","DTE Stockton (POSDEF Repower C0004)","Stockton","San Joaquin","CA"
"Ameresco Inc","E0214","Ameresco Santa Cruz Energy","Watsonville","Santa Cruz","CA"
"Ameresco Inc","E0217","Ameresco Keller Canyon","Pittsburg","Contra Costa","CA"
"Ameresco Inc","E0218","Ameresco Half Moon Bay (Ox Mountain Landfill)","Half Moon Bay","San Mateo","CA"
"Energy 2001 Inc","E0225","Lincoln Landfill - WPWMA","Lincoln","Placer","CA"
"Bowerman Power LFG","E0226","Bowerman Power Landfill Gas","Irvine","Orange","CA"
"Sanitation Districts of Los Angeles County","E0227","Calabasas Gas-to-Energy Facility","Agoura","Los Angeles","CA"
"J&A Santa Maria","E0228","Santa Maria II Landfill","Santa Maria","Santa Barbara","CA"
"Mt Poso Cogeneration Co","E0232","Mt. Poso Cogeneration","Bakersfield","Kern","CA"
"G2 Energy (Hay Road) LLC","E0236","Hay Road","Vacaville","Solano","CA"
"G2 Energy (Ostrom Road) LLC","E0237","Ostrom Road","Wheatland","Yuba","CA"
"East Bay Municipal Utility District (EBMUD)","E0242","EBMUD Wastewater Treatment Plant Digester Gas Turbine","Oakland","Alameda","CA"
"Roseburg Forest Products","E0243","Roseburg Forest Products (Weed Cogeneration Plant)","Weed","Siskiyou","CA"
"City of San Diego","E0244","North City Cogeneration Facility Expansion (NCCFE)","San Diego","San Diego","CA"
"Ameresco Inc","E0248","Ameresco Butte County Neal Road Landfill","Paradise","Butte","CA"
"Brea Parent 2007 LLC c/o Broadrock Renewables LLC","E0249","Brea Expansion Plant - Brea Power II LLC","Brea","Orange","CA"
"Ameresco Inc","E0250","Ameresco Chiquita Energy","Castaic","Los Angeles","CA"
"Encina Wastewater Authority","E0251","Encina Water Pollution Control","Carlsbad","San Diego","CA"
"Ameresco Inc","E0252","Ameresco Forward LLC","Manteca","San Joaquin","CA"
"Ameresco Inc","E0253","Ameresco San Joaquin LLC","Linden","San Joaquin","CA"
"Toro Energy of California LLC","E0254","Cold Canyon","San Luis Obispo","San Luis Obispo","CA"
"Ameresco Inc","E0255","Ameresco Johnson Canyon","Gonzales","Monterey","CA"
"Ventura Regional Sanitation District","E0256","Toland Road Landfill (Ventura) (Retired 6/1/2019)","Santa Paula","Ventura","CA"
"California Bioenergy LLC","E0257","ABEC Bidart-Old River LLC","Bakersfield","Kern","CA"
"Sunshine Gas Producers LLC","E0258","Sunshine Gas Producers Renewable Energy Project","Sylmar","Los Angeles","CA"
"J&A Santa Maria","E0260","Marian Medical Center Hospital (Santa Maria Landfill I)","Santa Maria","Santa Barbara","CA"
"J&A Santa Maria","E0261","Whittier LFG Power Plant 1","Whittier","Los Angeles","CA"
"Otay Landfill Gas LLC","E0300","Otay 3 Power Station (Retired 12/13/2019)","Chula Vista","San Diego","CA"
"Sierra Pacific Industries Inc","E0301","SPI-Anderson 2","Anderson","Shasta","CA"
"DTE Biomass Energy Inc","E0302","Potrero Hills Energy Producers LLC","Suisun City","Solano","CA"
"Zero Waste to Energy Development Company","E0303","Zero Waste to Energy","San Jose","Santa Clara","CA"
"WM Renewable Energy","E0304","Redwood Renewable Energy Facility","Novato","Marin","CA"
"Aria Energy LLC","E0305","Kiefer Landfill Phase II (KLG2)","Sloughhouse","Sacramento","CA"
"California Bioenergy LLC","E0306","Carlos Echeverria and Sons Dairy Biogas","Bakersfield","Kern","CA"
"California Bioenergy LLC","E0308","Lakeview Farms LLC","Bakersfield","Kern","CA"
"California Bioenergy LLC","E0309","West-Star North Dairy","Buttonwillow","Kern","CA"
"Fuel Cell Energy","F0001","Riverside RWQCP Fuel Cell","Riverside","Riverside","CA"
"Fuel Cell Energy","F0002","Santa Rita Jail Fuel Cell","Dublin","Alameda","CA"
"Fuel Cell Energy","F0003","UCI Fuel Cell","Orange","Orange","CA"
"Clean Energy Systems Inc","G0006","CES Placerita Inc.  (CESP) - Retired December 2010","Newhall","Los Angeles","CA"
"AES Alamitos LLC","G0011","Alamitos","Long Beach","Los Angeles","CA"
"Southern California Edison (SCE)","G0014","Pebbly Beach","Avalon","Los Angeles","CA"
"Turlock Irrigation District","G0016","Almond Power Plant","Modesto","Stanislaus","CA"
"Calpine King City Cogen, LLC","G0019","King City Cogen Plant","King City","Monterey","CA"
"Southern California Public Power Authority (SCPPA)","G0026","Anaheim CT (Retired 12/31/2019)","Anaheim","Orange","CA"
"Cenveo Corporation","G0028","Cenveo Anderson Lithograph (Shutdown May 2009)","Commerce","Los Angeles","CA"
"Aera Energy LLC","G0031","Oxford Cogeneration Facility (Shutdown 12/2006)","Fellows","Kern","CA"
"Berry Petroleum LLC","G0032","Berry Placerita Cogen","Santa Clarita","Los Angeles","CA"
"Tesoro LAR","G0034","Andeavor Los Angeles Refinery","Carson","Los Angeles","CA"
"Watson Cogeneration Company (Tesoro Refining & Marketing)","G0035","Watson Cogeneration Co","Carson","Los Angeles","CA"
"WCAC Operating Company","G0040","Badger Creek Cogen","Bakersfield","Kern","CA"
"El Segundo Power LLC","G0053","El Segundo Energy Center","El Segundo","Los Angeles","CA"
"Biola University","G0054","Biola University","La Mirada","Los Angeles","CA"
"Santa Maria Cogeneration Inc","G0056","Santa Maria Cogen Plant (Retired 12/31/2013 per CAISO)","Santa Maria","Santa Barbara","CA"
"Southern California Public Power Authority (SCPPA)","G0058","Canyon Power Plant","Anaheim","Orange","CA"
"Imperial Irrigation District","G0059","Brawley (Retired 12/31/2009)","Brawley","Imperial","CA"
"City of Pasadena","G0061","Broadway (Retired 12/31/2016)","Pasadena","Los Angeles","CA"
"Burbank Water and Power","G0063","Lake 1","Burbank","Los Angeles","CA"
"Sacramento Municipal Utility District (SMUD)","G0076","Sacramento Campbell Soup SPA","Sacramento","Sacramento","CA"
"City of Santa Rosa Utilities Department","G0077","Laguna Water Reclamation Facility","Santa Rosa","Sonoma","CA"
"Air Products and Chemicals Inc","G0078","Wilmington - Air Products","Wilmington","Los Angeles","CA"
"Cardinal Cogen","G0080","Cardinal Cogen - Retired 3/31/2015","Stanford","Santa Clara","CA"
"Carson Cogeneration Company","G0084","Carson Cogeneration Company","Carson","Los Angeles","CA"
"Central Valley Financing","G0085","Carson Ice CG","Sacramento","Sacramento","CA"
"San Jose State University","G0087","San Jose Cogeneration","San Jose","Santa Clara","CA"
"Chevron North America Exploration and Production","G0100","Coalinga Cogeneration Plants (16.56 MW)","Coalinga","Fresno","CA"
"Chevron Business and Real Estate Services","G0101","Chevron Concord Cogeneration (Retired 7/27/2010)","Concord","Contra Costa","CA"
"Chevron North America Exploration and Production","G0102","Cymric Cogeneration Plants","McKittrick","Kern","CA"
"Chevron North America Exploration and Production","G0103","Kern River Eastridge Cogeneration Plant","Bakersfield","Kern","CA"
"Chevron Products Co - NorCal","G0104","Chevron Richmond Refinery Cogeneration","Richmond","Contra Costa","CA"
"Chevron Products Co - SoCal","G0105","Chevron El Segundo Refinery Cogeneration","El Segundo","Los Angeles","CA"
"Chevron North America Exploration and Production","G0107","Taft 26C Cogeneration Plant","Taft","Kern","CA"
"Childrens Hospital & Health","G0109","Childrens Hospital #2","San Diego","San Diego","CA"
"Silicon Valley Power","G0114","Santa Clara Cogen","Santa Clara","Santa Clara","CA"
"City of Palm Springs","G0119","Municipal Cogeneration Plant (Palm Springs)","Palm Springs","Riverside","CA"
"City of San Jose","G0121","San Jose Convention Center (Closed 2001)","San Jose","Santa Clara","CA"
"Pacific Gas & Electric (PG&E)","G0127","SF Fuel Cell Station","San Francisco","San Francisco","CA"
"JR Simplot Company","G0128","Lathrop Plant","Lathrop","San Joaquin","CA"
"Imperial Irrigation District","G0130","Coachella","Coachella","Riverside","CA"
"Coalinga Cogeneration Facility","G0131","Coalinga Cogeneration Facility (38.4 MW) (Retired 12/31/2016)","Coalinga","Fresno","CA"
"Graphic Packaging International Inc","G0144","Altivity Packaging - Santa Clara - Retired December 2017","Santa Clara","Santa Clara","CA"
"Jefferson Smurfit Container Corp","G0145","Smurfit Stone Container Corporation - Retired August 2002","Los Angeles","Los Angeles","CA"
"GenOn Holdings Inc.","G0147","Contra Costa Power Plant - Retired May 2013","Antioch","Contra Costa","CA"
"WCAC Operating Company","G0149","Corona Cogen (Retired)","Corona","Riverside","CA"
"County of Los Angeles","G0157","Pitchess Cogeneration Station (Retired November 2, 2018)","Saugus","Los Angeles","CA"
"Solano County","G0159","Solano County Cogeneration Plant","Fairfield","Solano","CA"
"Crockett Cogeneration LP","G0161","Crockett Cogeneration Project","Crockett","Contra Costa","CA"
"Silicon Valley Power","G0169","Donald Von Raesfeld Power Plant (DVR)","Santa Clara","Santa Clara","CA"
"Grade 6 Oil LLC","G0173","Western Power and Steam  Inc. (DAI Oildale)","Bakersfield","Kern","CA"
"Cabrillo Power II LLC (NRG West Coast Inc)","G0175","Division - Retired Dec 2003","San Diego","San Diego","CA"
"WCAC Operating Company","G0176","Double C","Bakersfield","Kern","CA"
"Dow Chemical Company","G0177","Pittsburg (Closed April 1  2010)","Pittsburg","Contra Costa","CA"
"EF Oxnard Inc","G0180","EF Oxnard  Inc.","Oxnard","Ventura","CA"
"Ridgewood Power Management LLC","G0184","Byron Power Partners LP - Retired December 2010","Unincorporated","Alameda","CA"
"Cabrillo Power II LLC (NRG West Coast Inc)","G0189","El Cajon  (retired 12/31/2016)","El Cajon","San Diego","CA"
"Imperial Irrigation District","G0190","El Centro Generating Station","El Centro","Imperial","CA"
"El Segundo Power LLC","G0194","El Segundo Power Station - Retired 12/31/2015","El Segundo","Los Angeles","CA"
"GenOn Holdings Inc.","G0195","Ellwood Generating Station","Goleta","Santa Barbara","CA"
"NRG Energy","G0196","Encina Power Station (retired 12/11/2018)","Carslbad","San Diego","CA"
"NRG Marsh Landing LLC","G0201","Etiwanda Generating Station (Retired 6/1/2018)","Rancho Cucamonga","San Bernardino","CA"
"ExxonMobil Production Company","G0202","ExxonMobil Las Flores Canyon","Goleta","Santa Barbara","CA"
"Newark Pacific Paperboard Corp (NP Cogen Inc)","G0203","NP Cogen Inc - Retired December 2001","Commerce","Los Angeles","CA"
"Modesto Irrigation District","G0204","MID Ripon","Ripon","San Joaquin","CA"
"City of Roseville","G0213","Roseville Energy Park (REP)","Roseville","Placer","CA"
"Frito-Lay Inc","G0216","Frito-Lay (Kern Plant)","Bakersfield","Kern","CA"
"Malaga Power LLC","G0220","Malaga Peaking Plant","Fresno","Fresno","CA"
"O.L.S. Energy - Agnews Inc","G0221","Agnews Power Plant","San Jose","Santa Clara","CA"
"Gaylord Container Corp","G0224","Gaylord Container Corp Antioch - Retired November 2002","Antioch","Contra Costa","CA"
"General Mills Operations Inc","G0225","General Mills Operations Inc Lodi Plant - Retired November 2","Lodi","San Joaquin","CA"
"Silicon Valley Power","G0228","Gianera","Santa Clara","Santa Clara","CA"
"Calpine Gilroy Cogen, L.P.","G0229","Gilroy Cogen Plant","Gilroy","Santa Clara","CA"
"City of Pasadena","G0231","Glenarm","Pasadena","Los Angeles","CA"
"Goal Line LP","G0233","Goal Line LP","Escondido","San Diego","CA"
"City of Glendale","G0236","Grayson","Glendale","Los Angeles","CA"
"Greenleaf Plants 1&2","G0238","Greenleaf 1  Inc.","Yuba City","Sutter","CA"
"Greenleaf Plants 1&2","G0239","Greenleaf 2  Inc.","Yuba City","Sutter","CA"
"Sharp Grossmont Hospital","G0241","Grossmont Hospital","La Mesa","San Diego","CA"
"Los Angeles Department of Water & Power (LADWP)","G0245","Harbor","Wilmington","Los Angeles","CA"
"Harbor Cogeneration Co","G0246","Harbor Cogeneration Co","Wilmington","Los Angeles","CA"
"Los Angeles Department of Water & Power (LADWP)","G0249","Haynes Generating Station","Long Beach","Los Angeles","CA"
"Hershey Chocolate & Confectionary Corp","G0254","Hershey Chocolate Confectionery Oakdale Plant -Shutdown 2011","Oakdale","Stanislaus","CA"
"WCAC Operating Company","G0258","High Sierra","Bakersfield","Kern","CA"
"Riverside Canal Power Co Inc","G0259","Riverside Canal Power (Retired 12/31/2004)","Grand Terrace","San Bernardino","CA"
"Los Angeles Cold Storage Company","G0262","Los Angeles Cold Storage - Retired Dec 2003","Los Angeles","Los Angeles","CA"
"Pacific Gas & Electric (PG&E)","G0268","Humboldt Bay","Eureka","Humboldt","CA"
"Pacific Gas & Electric (PG&E)","G0272","Hunters Point (Closed May 2006)","San Francisco","San Francisco","CA"
"AES Huntington Beach LLC","G0274","Huntington Beach (AES)","Huntington Beach","Orange","CA"
"New-Indy Ontario LLC","G0280","Ontario Mill (New-Indy Containerboard)","Ontario","San Bernardino","CA"
"United Technologies Corporation","G0281","UTC Aerospace Systems Cogeneration Plant (Retired 9/29/2018)","Chula Vista","San Diego","CA"
"Napa State Hospital","G0282","Napa State Hospital - Retired December 2013","Napa","Napa","CA"
"Ridgewood Power Management LLC","G0283","JRW Associates LP","Winton","Merced","CA"
"KES Kingsburg LP, c/o Southwest Generation","G0286","Kingsburg Cogeneration","Kingsburg","Fresno","CA"
"Kaweah Delta Hospital","G0288","Kaweah Delta District Hospital","Visalia","Tulare","CA"
"Cabrillo Power II LLC (NRG West Coast Inc)","G0289","Kearny (Retired 12/31/2017)","San Diego","San Diego","CA"
"C P Kelco","G0290","CP Kelco - San Diego Plant","San Diego","San Diego","CA"
"WCAC Operating Company","G0292","Kern Front","Bakersfield","Kern","CA"
"Kern River Cogeneration Facility","G0293","Kern River Cogeneration Co","Bakersfield","Kern","CA"
"Sierra Pacific Resources","G0294","Kings Beach - Retired 12/31/2002","Tahoe Vista","Placer","CA"
"Kyocera America Inc","G0298","Kyocera Project","San Diego","San Diego","CA"
"WCAC Operating Company","G0315","Live Oak Cogen","Bakersfield","Kern","CA"
"Loma Linda University","G0317","Loma Linda University Cogeneration","Loma Linda","San Bernardino","CA"
"Long Beach Generation LLC","G0319","Long Beach Generation LLC","Long Beach","Los Angeles","CA"
"Burbank Water and Power","G0329","Magnolia","Burbank","Los Angeles","CA"
"GenOn Holdings Inc.","G0330","Mandalay Generating Station (Retired 2/6/2018)","Oxnard","Ventura","CA"
"Sacramento Municipal Utility District (SMUD)","G0335","McClellan","Sacramento","Sacramento","CA"
"Modesto Irrigation District","G0336","McClure","Modesto","Stanislaus","CA"
"WCAC Operating Company","G0339","McKittrick Cogen","McKittrick","Kern","CA"
"Mid-Set Cogeneration Facility","G0355","Mid-Set Cogeneration (Retired 12/31/2016)","Fellows","Kern","CA"
"MMC Energy Inc","G0357","MMC Mid-Sun  LLC (Dismantled 4/1/2009)","Fellows","Kern","CA"
"Midway Sunset Cogeneration Co","G0358","Midway-Sunset Cogeneration","Fellows","Kern","CA"
"Cabrillo Power II LLC (NRG West Coast Inc)","G0360","San Diego Combustion Turbines - Miramar 1A 1B (Retired 12/31/2016)","San Diego","San Diego","CA"
"PBF Energy LLC","G0363","Torrance Refinery","Torrance","Los Angeles","CA"
"Energy Operations Group","G0366","Lake Shore Mojave  LLC (Retired 8/2013)","Boron","Kern","CA"
